序号,标题,URL
Paper Cover,Paper Cover,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Paper%20Cover.png
Fig 1,Fig. 1. An example of truck-drone synchronization for heterogeneous tasks.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Fig%201.png
Fig 2,Fig. 2. A schematic diagram of key variables.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Fig%202.png
Fig 3,Fig. 3. ALNS runtime across diﬀerent instance sizes.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Fig%203.png
Fig 4,Fig. 4. Illustrative examples of instances with varying spatial distributions.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Fig%204.png
Fig 6,"Fig. 6. Visualization of Case C1 (solid lines for truck 1 and its drones, dashed lines for truck 2 and its drones).",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Fig%206.png
Fig 7,"Fig. 7. Visualization of Case A (solid lines for truck 1 and its drones, dashed lines for truck 2 and its drones).",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Fig%207.png
Fig 8,"Fig. 8. Visualization of Case C (solid lines for Truck 1 and its drones, dashed lines for Truck 2 and its drones).",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Fig%208.png
Fig 9,Fig. 9. Two real-world power inspection scenarios.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Fig%209.png
Fig 10,Fig. 10. Impact of drone battery capacity on cost in two scenarios.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Fig%2010.png
Fig 11,Fig. 11. Impact of the proportion of truck nodes on system cost and task completion time under two scenarios.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Fig%2011.png
Fig 5,"Fig. 5. Visualization of Case R3 (solid lines for truck 1 and its drones, dashed lines for truck 2 and its drones).",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Fig%205.png
Table 1,Table 1  Notations and decision variables.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Table%201.png
Table 2,Table 2  Parameter tuning results.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Table%202.png
Table 3,Table 3  Comparison of Gurobi and ALNS performance on small-scale instances.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Table%203.png
Table 4,Table 4  The performance of ALNS on large-scale instances.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Table%204.png
Table 5,Table 5  The performance of ALNS on instances with heterogeneous task distributions and den- sities.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Table%205.png
Table 6,"Table 6  Performance comparison of ALNS, NS, and ILS on small-scale instances.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Table%206.png
Table 7,"Table 7  Performance comparison of ALNS, NS, and ILS on large-scale instances.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Table%207.png
Table 8,Table 8  Comparison of total costs between the proposed model and the classical homogeneous setting.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Table%208.png
Table 9,Table 9  Comparison of total costs between our model and predeﬁned truck-drone ﬂeets.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Table%209.png
Table 10,Table 10  The impact of drone battery capacity on total cost.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Table%2010.png
Table 11,Table 11  The percentage change in the objective function’s value when removing or adding operators.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Table%2011.png
Table 12,Table 12  The change in the number of iterations required to reach a 5% optimality gap when removing or adding operators.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2026.104853/Table%2012.png
