序号,标题,URL
Paper Cover,Paper Cover,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.ymssp.2026.113975/Paper%20Cover.png
Fig 1,"Fig. 1. The proposed RDI-Pred framework is specifically designed for emergency and high-risk driving scenarios. It consists of three core 
components: a Risk-Aware Exteroceptive Cue Encoder (RSCE), a Multi-Scale Dynamic Encoder (MSDE), and an Intention Recognition Auxiliary 
Task. The entire framework is trained in an end-to-end manner, jointly optimizing three types of loss functions: trajectory prediction loss 𝐿𝑡𝑟𝑎𝑗, 
dense future prediction loss 𝐿𝑑𝑒𝑛𝑠𝑒, and intention recognition loss 𝐿𝑐𝑢𝑡−𝑖𝑛.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.ymssp.2026.113975/Fig%201.png
Fig 2,"Fig. 2. The architecture of the Risk-Aware Exteroceptive Cue Encoder. It employs a two-layer GRU for temporal modeling of exteroceptive 
cues, introduces a Prior-Enhanced Risk-Aware Attention to adaptively emphasize critical risk moments, and constructs a Tri-Agent Interaction 
Micrograph to represent structured interactions among the Ego, TV, and CIPV.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.ymssp.2026.113975/Fig%202.png
Fig 3,"Fig. 3. Framework of the proposed multi-scale dynamic encoder. The kinematic observation sequence is divided into short-, mid-, and long-term 
branches for hierarchical temporal modeling. Each branch extracts dynamics under different temporal resolutions (1D-CNN, BiGRU, BiLSTM), 
which are concatenated and processed by multi-head attention to form dynamic features.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.ymssp.2026.113975/Fig%203.png
Fig 4,"Fig. 4. Visual comparison between MTR and RDI-Pred across three scenarios: (a) passive lane change under right-turn-lane congestion, (b) 
accelerated weaving in sparse traffic, and (c) aggressive lane change in dense traffic. Row 1: real scenes; Row 2: MTR predictions; Row 3: 
RDI-Pred predictions. Blue: ego; green: target; yellow: multimodal predictions; red: ground truth.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.ymssp.2026.113975/Fig%204.png
Fig 5,"Fig. 5. Visual comparison between MTR and RDI-Pred across three scenarios: (a) temporary lane change to exit near a ramp, (b) zipper-style 
merging at a ramp entrance, and (c) emergency lane change triggered by the sudden deceleration of the preceding vehicle. Row 1: real scenes; 
Row 2: MTR predictions; Row 3: RDI-Pred predictions. Blue: ego; green: target; yellow: multimodal predictions; red: ground truth.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.ymssp.2026.113975/Fig%205.png
Table 1,Table 1 Performance comparison of MTR on the Waymo dataset and the ESP dataset.  Dataset mAP6 (↑) minADE6 (↓) minFDE6 (↓) MR6 (↓)   Waymo 0.20 0.92 2.06 0.44    ESP 0.25 2.03 3.48 0.46,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.ymssp.2026.113975/Table%201.png
Table 2,"Table 2 Comparison of performance metrics between baseline models and RDI-Pred on the ESP  validation set. The best results are shown in bold, and the second-best results are  underlined.  Method mAP (↑) minADE6 (↓) minFDE6 (↓) MR6 (↓)   MTR [26] 0.25 2.03 3.48 0.46    HIVT [29] 0.23 2.11 3.62 0.48    SIMPL [5] 0.25 1.92 3.33 0.43    HPNet [20] 0.24 2.11 3.32 0.43    TNT [15] 0.22 2.33 5.21 0.48    MTR+ESP [6] 0.26 1.94 3.31 0.44    RDI-Pred 0.33 1.14 1.88 0.24",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.ymssp.2026.113975/Table%202.png
Table 3,"Table 3 Ablation results with stepwise module integration on the ESP validation set. The model  progressively incorporates the Risk-Aware Exteroceptive Cue Encoder (RECE), Multi- Scale Dynamic Encoder (MSDE), and Intention Recognition Auxiliary Task following  the data processing pipeline.  Model RECE MSDE Intention  recognition",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.ymssp.2026.113975/Table%203.png
Table 4,Table 4 Performance of RDI-Pred across different risk buckets (TTC-based stratification).  Risk bucket mAP6 (↑) minADE6 (↓) minFDE6 (↓) MR6 (↓)   High-risk 0.41 1.05 1.67 0.19    Medium-risk 0.42 1.14 1.96 0.21    Low-risk 0.33 1.15 1.91 0.25    Overall 0.33 1.14 1.88 0.24,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.ymssp.2026.113975/Table%204.png
Table 5,Table 5 The per-scenario inference time on an RTX 3090 is reported for the model with stepwise  integration of each component.  Model Inference latency (ms)   MTR 20.9    MTR + RECE 22.0    MTR + RECE + MSDE 27.1    RDI-Pred 27.3,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.ymssp.2026.113975/Table%205.png
Table 6,Table 6 Robustness analysis under noisy perturbations of the cut-in probabilistic prior (B0–B4)  with an ablated baseline (A2).  Model 𝑚𝐴𝑃6 (↑) 𝑚𝑖𝑛𝐴𝐷𝐸6 (↓) 𝑚𝑖𝑛𝐹𝐷𝐸6 (↓) 𝑀𝑅6 (↓)   B0 0.33 1.14 1.88 0.24    B1 0.33 1.14 1.88 0.25    B2 0.33 1.14 1.89 0.25    B3 0.33 1.14 1.88 0.25    B4 0.33 1.14 1.88 0.25    A2 0.31 1.22 2.01 0.30,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.ymssp.2026.113975/Table%206.png
Table 7,Table 7 Robustness evaluation results of RDI-Pred under exteroceptive-cue perturbations with  different noise intensities.  Noise Level 𝑚𝐴𝑃6 (↑) 𝑚𝑖𝑛𝐴𝐷𝐸6 (↓) 𝑚𝑖𝑛𝐹𝐷𝐸6 (↓) 𝑀𝑅6 (↓)   No perturbation 0.33 1.14 1.88 0.24    Mild noise 0.33 1.15 1.89 0.25    Moderate noise 0.31 1.14 1.90 0.25    Severe noise 0.31 1.15 1.91 0.25,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.ymssp.2026.113975/Table%207.png
Table 8,Table 8 Key hyper-parameters used in our experiments.  Symbol Description Value   𝑤𝑠 Short-term window size 5    𝑁𝑠 Number of short-term windows 26    𝑤𝑚 Mid-term window size 15    𝑁𝑚 Number of mid-term windows 4    𝜆cut Loss balancing weight between intention recognition and trajectory prediction 0.5    𝑑emb RECE and MSDE embedding dimension 128    𝑑1 Risk-aware representation embedding dimension 256    𝑑𝑐 MTR encoder output agent feature embedding dimension 256    𝑁 Number of agents –    𝑑𝑚 MTR encoder output map feature embedding dimension 64    𝑀 Number of local map polylines 20,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.ymssp.2026.113975/Table%208.png
Table 9,Table 9 RDI-Pred model Parameters description and dimension.  Symbol Description Dimension   𝑇ℎ History horizon R1×30    𝑅 Exteroceptive cues R5×3×𝑇ℎ    𝐻 Encoded temporal hidden state of exteroceptive cues R𝑇ℎ×𝑑emb    𝑆 Latent risk score R1×𝑇ℎ    𝛼𝑡 Risk-aware attention weights R    𝑧∗ Risk-aware representation R𝑑1    𝐹𝑇 Target-vehicle features after MTR polyline encoding R𝑑emb    𝐹risk 𝑇 Target-vehicle features enhanced with the fused risk representation R𝑑emb    𝐹𝑤 Short-term feature R𝑁𝑠×64    𝐹𝑚 Mid-term feature R𝑁𝑚×𝑑emb    𝐹𝐿 Long-term feature R𝑑emb    𝐹𝐷 Dynamic feature R𝑑emb    𝐹dyn 𝑇 Target-agent features fused with risk and dynamic information R𝑑emb    𝐹1 𝑇 Target-vehicle features encoded by the MTR encoder R𝑑𝑒    𝐹𝑠 Surrounding-vehicle features encoded by the MTR encoder R𝑁×𝑑𝑒    𝐹𝑀 Local map polyline features R𝑀×𝑑𝑚    𝐹cut-in Cut-in features R𝑑emb    𝑃cut Prior probability of the target vehicle performing a cut-in maneuver R    𝐹final 𝑇 Final target-vehicle features fused with semantic priors R𝑑𝑐,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.ymssp.2026.113975/Table%209.png
